num_expediente;fecha;hora;localizacion;numero;Combinada;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga;Ciudad;latitud;longitud
2022S000035;2022-01-02;06:50:00;PLAZA. DOCTOR MARAÑON / CALL. JOSE ABASCAL;0;PLAZA. DOCTOR MARAÑON / CALL. JOSE ABASCAL,0,Madrid;4.0;SALAMANCA;Alcance;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;;;441413.892;4476593.486;N;;Madrid;40.437924591271404;-3.690774216031946
2022S000090;2022-01-03;08:33:00;CALL. DUQUE DE SESTO / CALL. NARVAEZ;23;CALL. DUQUE DE SESTO / CALL. NARVAEZ,23,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;Despejado;Camión rígido;Conductor;De 35 a 39 años;Mujer;14.0;Sin asistencia sanitaria;442692.406;4474863.965;N;;Madrid;40.422433283499146;-3.6755446563817427
2022S000090;2022-01-03;08:33:00;CALL. DUQUE DE SESTO / CALL. NARVAEZ;23;CALL. DUQUE DE SESTO / CALL. NARVAEZ,23,Madrid;4.0;SALAMANCA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;De 45 a 49 años;Mujer;14.0;Sin asistencia sanitaria;442692.406;4474863.965;N;;Madrid;40.422433283499146;-3.6755446563817427
2022S000101;2022-01-03;14:25:00;CALL. VELAZQUEZ,86A;86A;CALL. VELAZQUEZ,86A,86A,Madrid;4.0;SALAMANCA;Caída;Despejado;Ciclomotor;Conductor;De 30 a 34 años;Hombre;5.0;Asistencia sanitaria ambulatoria con posterioridad;442012.923;4475824.826;N;;Madrid;40.43104211747932;-3.6836415349845066
2022S000101;2022-01-03;14:25:00;CALL. VELAZQUEZ,86A;86A;CALL. VELAZQUEZ,86A,86A,Madrid;4.0;SALAMANCA;Caída;Despejado;Turismo;Conductor;De 60 a 64 años;Hombre;14.0;Sin asistencia sanitaria;442012.923;4475824.826;N;;Madrid;40.43104211747932;-3.6836415349845066
2022S000109;2022-01-03;17:45:00;CALL. SERRANO / CALL. HERMANOS BECQUER;77;CALL. SERRANO / CALL. HERMANOS BECQUER,77,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;;;441765.377;4476324.876;N;;Madrid;40.435529513124216;-3.686605610779702
2022S000109;2022-01-03;17:45:00;CALL. SERRANO / CALL. HERMANOS BECQUER;77;CALL. SERRANO / CALL. HERMANOS BECQUER,77,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 50 a 54 años;Hombre;;;441765.377;4476324.876;N;;Madrid;40.435529513124216;-3.686605610779702
2022S000117;2022-01-03;21:45:00;CALL. PRINCIPE DE VERGARA / CALL. GOYA;21;CALL. PRINCIPE DE VERGARA / CALL. GOYA,21,Madrid;4.0;SALAMANCA;Colisión lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 50 a 54 años;Mujer;14.0;Sin asistencia sanitaria;442318.851;4475153.619;N;;Madrid;40.425016820821305;-3.6799741227997433
2022S000117;2022-01-03;21:45:00;CALL. PRINCIPE DE VERGARA / CALL. GOYA;21;CALL. PRINCIPE DE VERGARA / CALL. GOYA,21,Madrid;4.0;SALAMANCA;Colisión lateral;Despejado;Turismo;Conductor;De 55 a 59 años;Hombre;7.0;Asistencia sanitaria sólo en el lugar del accidente;442318.851;4475153.619;N;;Madrid;40.425016820821305;-3.6799741227997433
2022S000118;2022-01-03;22:05:00;CALL. HERMOSILLA / CALL. PRINCIPE DE VERGARA;60;CALL. HERMOSILLA / CALL. PRINCIPE DE VERGARA,60,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14.0;Sin asistencia sanitaria;442269.416;4475278.66;N;;Madrid;40.42613982406323;-3.680568201856569
2022S000118;2022-01-03;22:05:00;CALL. HERMOSILLA / CALL. PRINCIPE DE VERGARA;60;CALL. HERMOSILLA / CALL. PRINCIPE DE VERGARA,60,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 65 a 69 años;Mujer;14.0;Sin asistencia sanitaria;442269.416;4475278.66;N;;Madrid;40.42613982406323;-3.680568201856569
2022S000118;2022-01-03;22:05:00;CALL. HERMOSILLA / CALL. PRINCIPE DE VERGARA;60;CALL. HERMOSILLA / CALL. PRINCIPE DE VERGARA,60,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Pasajero;De 60 a 64 años;Hombre;;;442269.416;4475278.66;N;;Madrid;40.42613982406323;-3.680568201856569
2022S000118;2022-01-03;22:05:00;CALL. HERMOSILLA / CALL. PRINCIPE DE VERGARA;60;CALL. HERMOSILLA / CALL. PRINCIPE DE VERGARA,60,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Peatón;De 35 a 39 años;Mujer;;;442269.416;4475278.66;N;;Madrid;40.42613982406323;-3.680568201856569
2022S000129;2022-01-04;10:00:00;CALL. AYALA,33;33;CALL. AYALA,33,33,Madrid;4.0;SALAMANCA;Colisión múltiple;Nublado;Camión rígido;Conductor;De 60 a 64 años;Hombre;;;442039.02;4475453.284;N;;Madrid;40.42769690380965;-3.6833000070784543
2022S000129;2022-01-04;10:00:00;CALL. AYALA,33;33;CALL. AYALA,33,33,Madrid;4.0;SALAMANCA;Colisión múltiple;Nublado;Maquinaria de obras;Conductor;Desconocido;Desconocido;;;442039.02;4475453.284;N;;Madrid;40.42769690380965;-3.6833000070784543
2022S000129;2022-01-04;10:00:00;CALL. AYALA,33;33;CALL. AYALA,33,33,Madrid;4.0;SALAMANCA;Colisión múltiple;Nublado;Turismo;Conductor;Desconocido;Desconocido;;;442039.02;4475453.284;N;;Madrid;40.42769690380965;-3.6833000070784543
2022S000131;2022-01-04;10:50:00;CALL. VELAZQUEZ,80;80;CALL. VELAZQUEZ,80,80,Madrid;4.0;SALAMANCA;Atropello a persona;Nublado;Motocicleta > 125cc;Conductor;De 30 a 34 años;Hombre;14.0;Sin asistencia sanitaria;441996.296;4475688.62;N;;Madrid;40.429813948116454;-3.6838251176649988
2022S000131;2022-01-04;10:50:00;CALL. VELAZQUEZ,80;80;CALL. VELAZQUEZ,80,80,Madrid;4.0;SALAMANCA;Atropello a persona;Nublado;Motocicleta > 125cc;Peatón;De 55 a 59 años;Hombre;3.0;Ingreso superior a 24 horas;441996.296;4475688.62;N;;Madrid;40.429813948116454;-3.6838251176649988
2022S000141;2022-01-04;15:35:00;CALL. VILLANUEVA / CALL. NUÑEZ DE BALBOA;33;CALL. VILLANUEVA / CALL. NUÑEZ DE BALBOA,33,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Motocicleta hasta 125cc;Conductor;De 21 a 24 años;Hombre;14.0;Sin asistencia sanitaria;442060.009;4474849.276;N;;Madrid;40.42225716115246;-3.682997544441633
2022S000141;2022-01-04;15:35:00;CALL. VILLANUEVA / CALL. NUÑEZ DE BALBOA;33;CALL. VILLANUEVA / CALL. NUÑEZ DE BALBOA,33,Madrid;4.0;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Turismo;Conductor;Desconocido;Desconocido;;;442060.009;4474849.276;N;;Madrid;40.42225716115246;-3.682997544441633
